Course,ACCS Abbreviation,Course Number,Course name,Semester hours
Agp 130             ,AGP,130,Poultry Production                                ,4
Agp 152             ,AGP,152,Agricultural Equipment Repair and Maintenance     ,3
Agr 200             ,AGR,200,Introduction to Animal Dairy Science              ,4
Ant 200             ,ANT,200,Introduction to Anthropology                      ,3
Ant 210             ,ANT,210,Physical Anthropology                             ,3
Ant 220             ,ANT,220,Cultural Anthropology                             ,3
Ant 226             ,ANT,226,Culture and Personality                           ,3
Ant 230             ,ANT,230,Introduction to Archaeology                       ,3
Art 100             ,ART,100,Art Appreciation (A)                              ,3
Art 100             ,ART,100,Art Appreciation                                  ,3
Art 113             ,ART,113,Drawing I                                         ,3
Art 114             ,ART,114,Drawing II                                        ,3
Art 121             ,ART,121,Two-Dimensional Composition I                     ,3
Art 127             ,ART,127,Three-Dimensional Composition                     ,3
Art 174             ,ART,174,Photography II                                    ,3
Art 203             ,ART,203,Art History I (A)                                 ,3
Art 203             ,ART,203,Art History I                                     ,3
Art 204             ,ART,204,Art History II (A)                                ,3
Art 204             ,ART,204,Art History II                                    ,3
Art 221             ,ART,221,Computer Graphics I                               ,3
Asl 101             ,ASL,101,American Sign Language I                          ,3
Asl 102             ,ASL,102,American Sign Language II                         ,3
Asl 103             ,ASL,103,American Sign Language III                        ,3
Asl 104             ,ASL,104,American Sign Language IV                         ,3
Ast 220             ,AST,220,Introduction to Astronomy                         ,4
Atm 211             ,ATM,211,Automated Mfg. Tech. Electronics                  ,4
Bio 101             ,BIO,101,Introduction to Biology I                         ,4
Bio 102             ,BIO,102,Introduction to Biology II                        ,4
Bio 103             ,BIO,103,Principles of Biology I                           ,4
Bio 104             ,BIO,104,Principles of Biology II                          ,4
Bio 201             ,BIO,201,Human Anatomy and Physiology I                    ,4
Bio 202             ,BIO,202,Human Anatomy and Physiology II                   ,4
Bio 206             ,BIO,206,Human Anatomy                                     ,4
Bio 207             ,BIO,207,Human Physiology                                  ,4
Bio 220             ,BIO,220,General Microbiology                              ,4
Bus 100             ,BUS,100,Introduction to Business                          ,3
Bus 146             ,BUS,146,Personal Finance                                  ,3
Bus 210             ,BUS,210,Introduction to Accounting                        ,3
